seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
263,basal4_011,-82.13933471725868,-11.140496081584343,-115.4430461548494,-85.25999450683594,-24.70916748046875,-119.74250030517578,-84.81536743514961,-17.673669597235484,-117.69786106928868,0.5
264,basal4_012,-10.890000343322754,30.410831451416016,-69.57250213623047,-23.750118353479458,29.617442481132887,-70.89722028129835,-17.320059348401106,30.01413696627445,-70.23486120876441,0.5
265,basal4_012,-23.750118353479458,29.617442481132887,-70.89722028129835,-36.61023636363616,28.824053510849755,-72.22193842636624,-30.180177358557813,29.22074799599132,-71.55957935383229,0.5
266,basal4_012,-36.61023636363617,28.824053510849755,-72.22193842636624,-49.47035437379289,28.030664540566626,-73.54665657143411,-43.040295368714524,28.42735902570819,-72.88429749890017,0.5
267,basal4_012,-49.47035437379289,28.030664540566626,-73.54665657143411,-62.33047238394958,27.237275570283494,-74.87137471650199,-55.900413378871235,27.63397005542506,-74.20901564396804,0.5
268,basal4_012,-62.33047238394958,27.237275570283494,-74.87137471650199,-68.51044921114936,23.701969684933317,-84.56262122878205,-66.05369044256544,25.729536756253015,-78.92391087419827,0.5
269,basal4_012,-68.51044921114936,23.701969684933317,-84.56262122878205,-73.51276202275986,21.63617403600491,-96.17216478823867,-70.99700107171272,22.853048867939737,-90.4174200727907,0.5
270,basal4_012,-73.51276202275986,21.636174036004913,-96.17216478823866,-80.73768122428787,18.438563715385413,-106.22149331130888,-76.46942507792636,19.67647137434568,-101.51072687308049,0.5
271,basal4_012,-80.73768122428787,18.438563715385413,-106.22149331130888,-89.37823211056904,11.492230175005798,-111.90605999416572,-85.038745758252,15.790885993116,-109.753814029113,0.5
272,basal4_012,-89.37823211056903,11.492230175005808,-111.90605999416572,-97.6199951171875,4.110832214355469,-118.5625,-93.53089983837643,7.713131268426766,-115.06328756511608,0.5
273,basal4_02,8.855727345961342e-16,-9.199167251586914,-14.462499618530273,2.760000228881836,-14.069167137145996,-22.942502975463867,2.178930311198037,-12.404404630633683,-18.13352441259686,1.6052662807059275
274,basal4_021,2.760000228881836,-14.069167137145996,-22.942502975463867,2.820000410079956,-15.759166717529297,-26.09250259399414,2.790000319480896,-14.914166927337646,-24.517502784729004,1.5
275,basal4_0211,2.820000410079956,-15.759166717529297,-26.09250259399414,-23.862851141792273,-16.22226898209461,-33.168426594263046,-10.521425365856159,-15.990717849811954,-29.630464594128593,1.3297418909078276
276,basal4_0211,-23.86285114179228,-16.22226898209461,-33.168426594263046,-33.991221925260476,-18.295842580751803,-50.75207091689298,-36.170208673043476,-16.577556889006317,-37.323908507790286,1.0
277,basal4_0211,-33.991221925260476,-18.295842580751803,-50.75207091689299,-35.15999984741211,-20.699167251586914,-78.17250061035156,-34.43811353603019,-18.97132320867195,-64.51319293978453,1.0
278,basal4_02111,-35.15999984741211,-20.699167251586914,-78.17250061035156,-36.77698173455057,-25.73863183546783,-92.59798030588459,-35.56296450242014,-22.370721334241033,-86.04521923631403,1.0
279,basal4_02111,-36.77698173455057,-25.738631835467828,-92.59798030588459,-33.29999923706055,-23.907252310626372,-104.25329547595237,-36.2400016784668,-26.676755546188787,-98.24918542782812,1.0
280,basal4_02111,-33.29999923706055,-23.907252310626372,-104.25329547595237,-34.2599983215332,-24.613740120334818,-119.11063985516923,-33.84967320388262,-23.99900589855157,-112.26715707884212,0.7137112025872306
281,basal4_02111,-34.2599983215332,-24.613740120334818,-119.11063985516923,-31.259998321533203,-21.887654076767994,-134.30190282204228,-32.20805064524796,-23.630336676712748,-126.65609144899344,0.5
282,basal4_02111,-31.259998321533203,-21.887654076767987,-134.3019028220423,-26.520000457763672,-21.27916717529297,-149.06248474121094,-29.911552258201795,-20.58511561405135,-141.78568318123402,0.5
283,basal4_02112,-35.15999984741211,-20.699167251586914,-78.17250061035156,-31.234211703639783,-28.473458819977605,-84.48034034533991,-33.27507343743437,-24.634082906034603,-81.33533965007642,0.7337675250718197
284,basal4_02112,-31.234211703639783,-28.473458819977605,-84.48034034533991,-28.091712846977998,-32.1092574563484,-93.39621936470587,-28.817569575642775,-30.99930107099721,-88.17307965741037,0.5
285,basal4_02112,-28.091712846977998,-32.1092574563484,-93.39621936470587,-26.639999389648438,-34.32917022705078,-103.84249877929688,-27.365856118313218,-33.21921384169959,-98.61935907200137,0.5
286,basal4_0212,2.820000410079956,-15.759166717529297,-26.09250259399414,-38.15999984741211,-20.039167404174805,-34.212501525878906,-18.63535613072768,-17.790567541640016,-29.33855496310865,1.2382216153490004
287,basal4_02121,-38.15999984741211,-20.039167404174805,-34.212501525878906,-48.959999084472656,-40.809165954589844,-57.36250305175781,-46.96464357835388,-28.49658324432253,-46.64441070539151,1.0
288,basal4_021211,-48.959999084472656,-40.809165954589844,-57.36250305175781,-46.76758360149025,-48.438723161527136,-61.477433267454444,-42.900272622489894,-43.024059022163335,-59.54231598485742,0.9701153298858763
289,basal4_021211,-46.76758360149025,-48.438723161527136,-61.477433267454444,-51.91597986654436,-55.926599163296345,-70.7453625001923,-48.426642768567476,-53.57947787188538,-64.81179626636896,0.5
290,basal4_021211,-51.91597986654436,-55.92659916329635,-70.7453625001923,-55.684154117299165,-60.28888521423695,-83.96746084837132,-53.923192766473754,-58.11628631477631,-77.38538186676081,0.5
291,basal4_021211,-55.684154117299165,-60.28888521423695,-83.96746084837132,-46.577832748416014,-64.2780157952541,-94.361289220944,-50.670858637447076,-61.99139485583308,-88.95562884748392,0.5
292,basal4_021211,-46.577832748416014,-64.2780157952541,-94.361289220944,-42.14451866754575,-72.83359169274743,-104.75894790816072,-43.64044830214976,-67.29814268737246,-100.29122149760121,0.5
293,basal4_021211,-42.14451866754575,-72.83359169274743,-104.75894790816072,-45.437503964911095,-82.82228824865498,-114.38453477455637,-43.15046348018518,-77.9421992332157,-109.49908007125411,0.5
294,basal4_021211,-45.437503964911095,-82.82228824865497,-114.38453477455636,-42.0,-87.95061806911447,-122.49921210071139,-40.76513762137332,-85.52079022396208,-117.46534477817886,0.5
295,basal4_021211,-42.0,-87.95061806911447,-122.49921210071139,-41.013024173752086,-94.79511491097877,-134.3054436912117,-42.0,-89.69161261483812,-129.38640437111337,0.5
296,basal4_021211,-41.013024173752086,-94.79511491097875,-134.3054436912117,-42.84000015258789,-105.63916778564453,-143.2725067138672,-42.55553978157029,-100.50267457281848,-138.21944423658744,0.5
297,basal4_021212,-48.959999084472656,-40.809165954589844,-57.36250305175781,-27.354122823799962,-47.209980002927715,-60.387659596011225,-38.15706095413631,-44.00957297875878,-58.875081323884515,1.0
